Event_ID	Event_Type	GeneID	geneSymbol	ID	Gene_Event_ID	Event_Group	JuncType	comparison	IncFormLen	SkipFormLen	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncLevel1	IncLevel2	IncLevelDifference	IJC_SAMPLE_1_sum	SJC_SAMPLE_1_sum	IJC_SAMPLE_2_sum	SJC_SAMPLE_2_sum	SAMPLE_1_TotalReadCount	SAMPLE_2_TotalReadCount	EventTotalReadCount	PSI_SAMPLE_1	PSI_SAMPLE_2	DSE_Category
Event_2799	se_jcec	ENSG00000162341	TPCN2	70596	1	Skipped Exon	JCEC	shRYBP_vs_shRING1A.B	231	149	13,18,17	8,1,1	18,19,22	2,0,0	0.512,0.921,0.916	0.853,1.0,1.0	-0.168	48	10	59	2	58	61	119	0.827586206896552	0.967213114754098	
Event_28	a3ss_jc	ENSG00000104047	DTWD1	1999	1	Alternative 5' Splice Site	JC	Control_vs_shRYBP	194	149	0,0,0	2,6,17	1,1,3	2,2,6	0.0,0.0,0.0	0.277,0.277,0.277	-0.277	0	25	5	10	25	15	40	0	0.333333333333333	Unique to shRYBP vs Control
Event_28	a3ss_jcec	ENSG00000104047	DTWD1	1999	1	Alternative 5' Splice Site	JCEC	Control_vs_shRYBP	194	149	0,0,0	2,6,17	1,1,3	2,2,6	0.0,0.0,0.0	0.277,0.277,0.277	-0.277	0	25	5	10	25	15	40	0	0.333333333333333	Unique to shRYBP vs Control
Event_280	a3ss_jc	ENSG00000137216	TMEM63B	7979	1	Alternative 5' Splice Site	JC	Control_vs_shRING1A.B	290	149	16,8,2	0,1,0	0,0,8	2,5,4	1.0,0.804,1.0	0.0,0.0,0.507	0.766	26	1	8	11	27	19	46	0.962962962962963	0.421052631578947	Unique to shRING1A.B vs Control
Event_280	a3ss_jcec	ENSG00000137216	TMEM63B	7979	1	Alternative 5' Splice Site	JCEC	Control_vs_shRING1A.B	290	149	16,8,2	0,1,0	0,0,8	2,5,4	1.0,0.804,1.0	0.0,0.0,0.507	0.766	26	1	8	11	27	19	46	0.962962962962963	0.421052631578947	Unique to shRING1A.B vs Control
Event_2800	se_jc	ENSG00000172927	MYEOV	69226	1	Skipped Exon	JC	Control_vs_shRYBP	223	149	17,23,14	3,2,6	5,3,6	6,11,4	0.791,0.885,0.609	0.358,0.154,0.501	0.424	54	11	14	21	65	35	100	0.830769230769231	0.4	
Event_2800	se_jcec	ENSG00000172927	MYEOV	69226	1	Skipped Exon	JCEC	Control_vs_shRYBP	223	149	17,23,14	3,2,6	5,3,6	6,11,4	0.791,0.885,0.609	0.358,0.154,0.501	0.424	54	11	14	21	65	35	100	0.830769230769231	0.4	
Event_2800	se_jc	ENSG00000172927	MYEOV	70606	1	Skipped Exon	JC	shRYBP_vs_shRING1A.B	223	149	5,3,6	6,11,4	10,45,24	3,1,8	0.358,0.154,0.501	0.69,0.968,0.667	-0.437	14	21	79	12	35	91	126	0.4	0.868131868131868	
Event_2800	se_jcec	ENSG00000172927	MYEOV	70606	1	Skipped Exon	JCEC	shRYBP_vs_shRING1A.B	223	149	5,3,6	6,11,4	10,45,24	3,1,8	0.358,0.154,0.501	0.69,0.968,0.667	-0.437	14	21	79	12	35	91	126	0.4	0.868131868131868	
Event_2801	se_jc	ENSG00000267314	AC104532.1	69258	1	Skipped Exon	JC	Control_vs_shRYBP	238	149	5,7,8	0,0,0	7,10,11	0,8,1	1.0,1.0,1.0	1.0,0.439,0.873	0.229	20	0	28	9	20	37	57	1	0.756756756756757	
