Event_ID	JuncType	geneSymbol	GeneID	Event_Group	Gene_Event_ID	sample	read_count	max_count	sum_count	DSE_Category
Event_1014	JC	MRNIP	ENSG00000161010	Mutually Exclusive Exon	1	Control	90	90	161	Unique to shRING1A.B vs Control
Event_1014	JCEC	MRNIP	ENSG00000161010	Mutually Exclusive Exon	1	Control	90	90	161	Unique to shRING1A.B vs Control
Event_1014	JC	MRNIP	ENSG00000161010	Mutually Exclusive Exon	1	shRING1A.B	119	119	245	Unique to shRING1A.B vs Control
Event_1014	JCEC	MRNIP	ENSG00000161010	Mutually Exclusive Exon	1	shRING1A.B	119	119	245	Unique to shRING1A.B vs Control
Event_1015	JC	SLC25A35	ENSG00000125434	Mutually Exclusive Exon	1	Control	12	12	12	Unique to shRING1A.B vs Control
Event_1015	JCEC	SLC25A35	ENSG00000125434	Mutually Exclusive Exon	1	Control	12	12	12	Unique to shRING1A.B vs Control
Event_1015	JC	SLC25A35	ENSG00000125434	Mutually Exclusive Exon	1	shRING1A.B	8	30	38	Unique to shRING1A.B vs Control
Event_1015	JCEC	SLC25A35	ENSG00000125434	Mutually Exclusive Exon	1	shRING1A.B	8	30	38	Unique to shRING1A.B vs Control
Event_1016	JC	DUS4L	ENSG00000105865	Mutually Exclusive Exon	1	Control	266	266	266	Unique to shRING1A.B vs Control
Event_1016	JCEC	DUS4L	ENSG00000105865	Mutually Exclusive Exon	1	Control	266	266	266	Unique to shRING1A.B vs Control
Event_1016	JC	DUS4L	ENSG00000105865	Mutually Exclusive Exon	1	shRING1A.B	229	229	340	Unique to shRING1A.B vs Control
Event_1016	JCEC	DUS4L	ENSG00000105865	Mutually Exclusive Exon	1	shRING1A.B	229	229	340	Unique to shRING1A.B vs Control
Event_1017	JC	PCBP1-AS1	ENSG00000179818	Mutually Exclusive Exon	1	Control	8	121	622	Unique to shRING1A.B vs Control
Event_1017	JCEC	PCBP1-AS1	ENSG00000179818	Mutually Exclusive Exon	1	Control	8	122	649	Unique to shRING1A.B vs Control
Event_1017	JC	PCBP1-AS1	ENSG00000179818	Mutually Exclusive Exon	1	shRING1A.B	7	23	46	Unique to shRING1A.B vs Control
Event_1017	JCEC	PCBP1-AS1	ENSG00000179818	Mutually Exclusive Exon	1	shRING1A.B	7	23	46	Unique to shRING1A.B vs Control
Event_1018	JC	RGS22	ENSG00000132554	Mutually Exclusive Exon	1	Control	79	94	264	Unique to shRING1A.B vs Control
Event_1018	JCEC	RGS22	ENSG00000132554	Mutually Exclusive Exon	1	Control	79	95	268	Unique to shRING1A.B vs Control
Event_1018	JC	RGS22	ENSG00000132554	Mutually Exclusive Exon	1	shRING1A.B	93	107	290	Unique to shRING1A.B vs Control
Event_1018	JCEC	RGS22	ENSG00000132554	Mutually Exclusive Exon	1	shRING1A.B	93	107	294	Unique to shRING1A.B vs Control
Event_1019	JC	NSRP1	ENSG00000126653	Mutually Exclusive Exon	1	Control	43	96	212	Unique to shRING1A.B vs Control
Event_1019	JCEC	NSRP1	ENSG00000126653	Mutually Exclusive Exon	1	Control	43	96	212	Unique to shRING1A.B vs Control
Event_1019	JC	NSRP1	ENSG00000126653	Mutually Exclusive Exon	1	shRING1A.B	25	100	153	Unique to shRING1A.B vs Control
Event_1019	JCEC	NSRP1	ENSG00000126653	Mutually Exclusive Exon	1	shRING1A.B	25	100	153	Unique to shRING1A.B vs Control
Event_102	JC	THADA	ENSG00000115970	Alternative 5' Splice Site	1	Control	136	136	136	
Event_102	JCEC	THADA	ENSG00000115970	Alternative 5' Splice Site	1	Control	136	136	136	
Event_102	JC	THADA	ENSG00000115970	Alternative 5' Splice Site	1	shRYBP	66	66	66	
Event_102	JCEC	THADA	ENSG00000115970	Alternative 5' Splice Site	1	shRYBP	66	66	66	
Event_102	JC	THADA	ENSG00000115970	Alternative 5' Splice Site	1	shRING1A.B	122	122	122	
Event_102	JCEC	THADA	ENSG00000115970	Alternative 5' Splice Site	1	shRING1A.B	122	122	122	
Event_1020	JC	PGAP2	ENSG00000148985	Mutually Exclusive Exon	1	Control	44	61	122	Unique to shRING1A.B vs Control
Event_1020	JC	PGAP2	ENSG00000148985	Mutually Exclusive Exon	1	shRING1A.B	45	61	216	Unique to shRING1A.B vs Control
Event_1021	JC	TRMT2B	ENSG00000188917	Mutually Exclusive Exon	1	Control	71	71	202	Unique to shRING1A.B vs Control
Event_1021	JC	TRMT2B	ENSG00000188917	Mutually Exclusive Exon	1	shRING1A.B	112	112	274	Unique to shRING1A.B vs Control
Event_1022	JC	ENOX2	ENSG00000165675	Mutually Exclusive Exon	1	Control	179	179	229	Unique to shRING1A.B vs Control
Event_1022	JCEC	ENOX2	ENSG00000165675	Mutually Exclusive Exon	1	Control	179	179	229	Unique to shRING1A.B vs Control
Event_1022	JC	ENOX2	ENSG00000165675	Mutually Exclusive Exon	1	shRING1A.B	84	84	104	Unique to shRING1A.B vs Control
Event_1022	JCEC	ENOX2	ENSG00000165675	Mutually Exclusive Exon	1	shRING1A.B	84	84	104	Unique to shRING1A.B vs Control
Event_1023	JC	COL13A1	ENSG00000197467	Mutually Exclusive Exon	1	Control	36	36	54	Unique to shRING1A.B vs Control
Event_1023	JC	COL13A1	ENSG00000197467	Mutually Exclusive Exon	1	shRING1A.B	16	17	33	Unique to shRING1A.B vs Control
Event_1024	JC	ZNF320	ENSG00000182986	Mutually Exclusive Exon	1	Control	31	31	81	Unique to shRING1A.B vs Control
Event_1024	JCEC	ZNF320	ENSG00000182986	Mutually Exclusive Exon	1	Control	31	31	81	Unique to shRING1A.B vs Control
Event_1024	JC	ZNF320	ENSG00000182986	Mutually Exclusive Exon	1	shRING1A.B	26	38	85	Unique to shRING1A.B vs Control
Event_1024	JCEC	ZNF320	ENSG00000182986	Mutually Exclusive Exon	1	shRING1A.B	26	38	85	Unique to shRING1A.B vs Control
Event_1025	JC	EIF3E	ENSG00000104408	Mutually Exclusive Exon	1	Control	26	26	26	Same Direction
Event_1025	JC	EIF3E	ENSG00000104408	Mutually Exclusive Exon	1	shRYBP	23	23	23	Same Direction
Event_1025	JC	EIF3E	ENSG00000104408	Mutually Exclusive Exon	1	shRING1A.B	37	37	37	Same Direction
Event_1026	JC	CASC19	ENSG00000254166	Mutually Exclusive Exon	1	Control	14	178	790	Unique to shRING1A.B vs Control
Event_1026	JC	CASC19	ENSG00000254166	Mutually Exclusive Exon	1	shRING1A.B	30	268	1054	Unique to shRING1A.B vs Control
Event_1027	JC	SBNO1	ENSG00000139697	Mutually Exclusive Exon	1	Control	271	271	271	Unique to shRING1A.B vs Control
Event_1027	JC	SBNO1	ENSG00000139697	Mutually Exclusive Exon	1	shRING1A.B	400	400	400	Unique to shRING1A.B vs Control
Event_1028	JC	ALG9	ENSG00000086848	Mutually Exclusive Exon	1	Control	165	165	165	Unique to shRING1A.B vs Control
Event_1028	JC	ALG9	ENSG00000086848	Mutually Exclusive Exon	1	shRING1A.B	149	149	149	Unique to shRING1A.B vs Control
Event_1029	JC	IL15RA	ENSG00000134470	Mutually Exclusive Exon	1	Control	469	469	885	Unique to shRING1A.B vs Control
Event_1029	JC	IL15RA	ENSG00000134470	Mutually Exclusive Exon	1	shRING1A.B	439	439	838	Unique to shRING1A.B vs Control
Event_103	JC	PNPLA6	ENSG00000032444	Alternative 5' Splice Site	1	Control	372	372	372	
Event_103	JCEC	PNPLA6	ENSG00000032444	Alternative 5' Splice Site	1	Control	372	372	372	
Event_103	JC	PNPLA6	ENSG00000032444	Alternative 5' Splice Site	1	shRYBP	459	459	459	
