comparison	DSE_Category	Event_Group	geneSymbol	GeneID	Gene_Event_ID	Event_ID	SAMPLE_1_TotalReadCount	SAMPLE_2_TotalReadCount	IncLevelDifference	meanReadCount	absDeltaPSI	coverageDeltaScore
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Retained Intron	GSTP1	ENSG00000084207	1	Event_1342	37	39	-0.206	38	0.206	7.828
Control_vs_shRYBP	Different Direction	Retained Intron	IKBKB	ENSG00000104365	1	Event_1329	26	27	-0.791	26.5	0.791	20.9615
Control_vs_shRING1A.B	Different Direction	Retained Intron	IKBKB	ENSG00000104365	1	Event_1329	26	25	-0.541	25.5	0.541	13.7955
shRYBP_vs_shRING1A.B	Different Direction	Retained Intron	IKBKB	ENSG00000104365	1	Event_1329	27	25	0.25	26	0.25	6.5
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	ZC3H14	ENSG00000100722	1	Event_1416	8	7	0.667	7.5	0.667	5.0025
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	MAPK12	ENSG00000188130	1	Event_1354	21	46	-0.571	33.5	0.571	19.1285
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	BPHL	ENSG00000137274	1	Event_1400	15	36	-0.515	25.5	0.515	13.1325
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	MRNIP	ENSG00000161010	1	Event_1415	15	44	0.512	29.5	0.512	15.104
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	CDK20	ENSG00000156345	1	Event_1379	42	34	-0.507	38	0.507	19.266
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	DUS1L	ENSG00000169718	1	Event_1362	34	43	-0.469	38.5	0.469	18.0565
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	SNHG12	ENSG00000197989	1	Event_1399	42	66	0.418	54	0.418	22.572
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	EP400P1	ENSG00000185684	1	Event_1385	23	13	-0.417	18	0.417	7.506
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	FBF1	ENSG00000188878	1	Event_1420	16	25	-0.389	20.5	0.389	7.9745
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	FUK	ENSG00000157353	1	Event_1365	33	33	0.387	33	0.387	12.771
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	ZC3H14	ENSG00000100722	2	Event_1417	42	42	-0.367	42	0.367	15.414
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	GALK1	ENSG00000108479	1	Event_1363	29	25	-0.361	27	0.361	9.747
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	GORASP1	ENSG00000114745	2	Event_1412	80	93	-0.346	86.5	0.346	29.929
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	RAD51D	ENSG00000185379	1	Event_1403	40	20	-0.342	30	0.342	10.26
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	SLC38A7	ENSG00000103042	1	Event_1366	45	31	-0.338	38	0.338	12.844
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	JMJD8	ENSG00000161999	1	Event_1371	104	145	0.32	124.5	0.32	39.84
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	STARD3	ENSG00000131748	1	Event_1405	55	37	-0.293	46	0.293	13.478
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	EPS8L1	ENSG00000131037	1	Event_1404	26	59	-0.278	42.5	0.278	11.815
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	SMARCD3	ENSG00000082014	1	Event_1389	119	176	0.262	147.5	0.262	38.645
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Retained Intron	SETD4	ENSG00000185917	1	Event_1353	88	107	-0.26	97.5	0.26	25.35
Control_vs_shRING1A.B	Same Direction	Retained Intron	RPS6KL1	ENSG00000198208	1	Event_1430	6	10	0.63	8	0.63	5.04
Control_vs_shRING1A.B	Same Direction	Retained Intron	PPM1F	ENSG00000100034	1	Event_1390	19	35	-0.611	27	0.611	16.497
Control_vs_shRING1A.B	Same Direction	Retained Intron	PSMD11	ENSG00000108671	1	Event_1364	36	19	-0.401	27.5	0.401	11.0275
Control_vs_shRING1A.B	Same Direction	Retained Intron	ZNF789	ENSG00000198556	1	Event_1419	38	53	-0.369	45.5	0.369	16.7895
Control_vs_shRING1A.B	Same Direction	Retained Intron	GBAP1	ENSG00000160766	2	Event_1411	102	58	-0.331	80	0.331	26.48
Control_vs_shRING1A.B	Same Direction	Retained Intron	REX1BD	ENSG00000006015	2	Event_1358	33	73	0.323	53	0.323	17.119
Control_vs_shRING1A.B	Same Direction	Retained Intron	ABCC5	ENSG00000114770	1	Event_1409	46	33	0.309	39.5	0.309	12.2055
Control_vs_shRING1A.B	Same Direction	Retained Intron	NME3	ENSG00000103024	2	Event_1434	61	58	-0.307	59.5	0.307	18.2665
Control_vs_shRING1A.B	Same Direction	Retained Intron	SRSF5	ENSG00000100650	1	Event_1436	144	127	-0.3	135.5	0.3	40.65
Control_vs_shRING1A.B	Same Direction	Retained Intron	CCDC189	ENSG00000196118	1	Event_1367	9	25	0.296	17	0.296	5.032
Control_vs_shRING1A.B	Same Direction	Retained Intron	ATP6AP2	ENSG00000182220	1	Event_1422	20	31	-0.293	25.5	0.293	7.4715
Control_vs_shRING1A.B	Same Direction	Retained Intron	TRMT2B	ENSG00000188917	1	Event_1423	38	54	0.293	46	0.293	13.478
Control_vs_shRING1A.B	Same Direction	Retained Intron	SIRT6	ENSG00000077463	1	Event_1429	34	38	-0.278	36	0.278	10.008
Control_vs_shRING1A.B	Same Direction	Retained Intron	ALG10	ENSG00000139133	1	Event_1378	12	19	0.267	15.5	0.267	4.1385
Control_vs_shRING1A.B	Same Direction	Retained Intron	CRB3	ENSG00000130545	1	Event_1382	142	241	-0.259	191.5	0.259	49.5985
Control_vs_shRING1A.B	Same Direction	Retained Intron	RHOT2	ENSG00000140983	1	Event_1372	48	68	0.248	58	0.248	14.384
Control_vs_shRING1A.B	Same Direction	Retained Intron	POMGNT1	ENSG00000085998	1	Event_1414	32	48	0.241	40	0.241	9.64
Control_vs_shRING1A.B	Same Direction	Retained Intron	DGKZ	ENSG00000149091	1	Event_1431	38	33	-0.238	35.5	0.238	8.449
Control_vs_shRING1A.B	Same Direction	Retained Intron	RPRD1A	ENSG00000141425	1	Event_1361	23	28	-0.218	25.5	0.218	5.559
Control_vs_shRING1A.B	Same Direction	Retained Intron	POMZP3	ENSG00000146707	1	Event_1418	41	11	0.181	26	0.181	4.706
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	RPS6KL1	ENSG00000198208	1	Event_1430	8	10	0.713	9	0.713	6.417
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	CCDC189	ENSG00000196118	1	Event_1367	9	25	0.574	17	0.574	9.758
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	PSMD11	ENSG00000108671	1	Event_1364	13	19	-0.517	16	0.517	8.272
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	SIRT6	ENSG00000077463	1	Event_1429	27	38	-0.429	32.5	0.429	13.9425
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	POMZP3	ENSG00000146707	1	Event_1418	33	11	0.383	22	0.383	8.426
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	PPM1F	ENSG00000100034	1	Event_1390	25	35	-0.375	30	0.375	11.25
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	ZNF789	ENSG00000198556	1	Event_1419	58	53	-0.375	55.5	0.375	20.8125
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	REX1BD	ENSG00000006015	2	Event_1358	70	73	0.373	71.5	0.373	26.6695
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	ATP6AP2	ENSG00000182220	1	Event_1422	37	31	-0.36	34	0.36	12.24
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	ABCC5	ENSG00000114770	1	Event_1409	23	33	0.309	28	0.309	8.652
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	ALG10	ENSG00000139133	1	Event_1378	19	19	0.305	19	0.305	5.795
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	RPRD1A	ENSG00000141425	1	Event_1361	39	28	-0.284	33.5	0.284	9.514
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	DGKZ	ENSG00000149091	1	Event_1431	47	33	-0.276	40	0.276	11.04
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	SRSF5	ENSG00000100650	1	Event_1436	144	127	-0.262	135.5	0.262	35.501
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	RHOT2	ENSG00000140983	1	Event_1372	57	68	0.248	62.5	0.248	15.5
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	GBAP1	ENSG00000160766	2	Event_1411	93	58	-0.237	75.5	0.237	17.8935
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	NME3	ENSG00000103024	2	Event_1434	64	58	-0.219	61	0.219	13.359
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	TRMT2B	ENSG00000188917	1	Event_1423	35	54	0.213	44.5	0.213	9.4785
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	POMGNT1	ENSG00000085998	1	Event_1414	45	48	0.174	46.5	0.174	8.091
shRYBP_vs_shRING1A.B	Same Direction	Retained Intron	ATAT1	ENSG00000137343	1	Event_1506	19	36	-0.157	27.5	0.157	4.3175
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	TMEM63B	ENSG00000137216	1	Event_280	27	19	0.766	23	0.766	17.618
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	ZNF419	ENSG00000105136	1	Event_262	31	46	-0.571	38.5	0.571	21.9835
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	AC006001.3	ENSG00000229180	1	Event_244	18	9	0.562	13.5	0.562	7.587
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	CENPT	ENSG00000102901	1	Event_192	17	7	-0.553	12	0.553	6.636
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	CPLANE1	ENSG00000197603	1	Event_203	16	42	-0.486	29	0.486	14.094
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	CFAP45	ENSG00000213085	1	Event_223	22	25	0.457	23.5	0.457	10.7395
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	BAZ2B	ENSG00000123636	1	Event_243	12	26	0.447	19	0.447	8.493
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	CRYM	ENSG00000103316	1	Event_188	35	58	-0.419	46.5	0.419	19.4835
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	TMEM63B	ENSG00000137216	3	Event_282	55	87	0.417	71	0.417	29.607
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	ZC3H14	ENSG00000100722	1	Event_273	36	43	-0.398	39.5	0.398	15.721
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	SHKBP1	ENSG00000160410	1	Event_173	16	21	-0.391	18.5	0.391	7.2335
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	ZNF133	ENSG00000125846	1	Event_197	43	29	-0.388	36	0.388	13.968
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	C17orf53	ENSG00000125319	1	Event_178	52	40	0.36	46	0.36	16.56
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	FAM111A	ENSG00000166801	1	Event_247	44	44	-0.358	44	0.358	15.752
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	CDAN1	ENSG00000140326	1	Event_193	68	64	0.348	66	0.348	22.968
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	LLGL2	ENSG00000073350	2	Event_176	11	61	0.341	36	0.341	12.276
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	REXO5	ENSG00000005189	1	Event_296	61	47	-0.334	54	0.334	18.036
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	ASPSCR1	ENSG00000169696	1	Event_212	19	49	-0.329	34	0.329	11.186
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	AL365205.1	ENSG00000124593	1	Event_233	12	16	0.318	14	0.318	4.452
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 5' Splice Site	FRYL	ENSG00000075539	1	Event_284	67	100	0.295	83.5	0.295	24.6325
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	TPT1-AS1	ENSG00000170919	1	Event_272	18	6	-0.701	12	0.701	8.412
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	SLC26A11	ENSG00000181045	1	Event_175	29	61	0.474	45	0.474	21.33
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	KCP	ENSG00000135253	1	Event_230	14	41	0.433	27.5	0.433	11.9075
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	SMPD4	ENSG00000136699	1	Event_256	64	69	0.369	66.5	0.369	24.5385
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	ALS2CL	ENSG00000178038	2	Event_252	12	19	0.368	15.5	0.368	5.704
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	RHOT2	ENSG00000140983	1	Event_190	34	25	0.343	29.5	0.343	10.1185
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	DOK4	ENSG00000125170	1	Event_186	17	28	0.281	22.5	0.281	6.3225
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	PPP1R12B	ENSG00000077157	1	Event_235	38	41	-0.22	39.5	0.22	8.69
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	RNF32	ENSG00000105982	1	Event_210	12	41	0.217	26.5	0.217	5.7505
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	MAGI2-AS3	ENSG00000234456	1	Event_275	20	21	0.207	20.5	0.207	4.2435
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	AAMP	ENSG00000127837	1	Event_257	29	52	0.204	40.5	0.204	8.262
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	DEDD	ENSG00000158796	1	Event_232	49	61	0.203	55	0.203	11.165
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	DUS3L	ENSG00000141994	1	Event_171	433	158	-0.2	295.5	0.2	59.1
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	ARHGEF26	ENSG00000114790	1	Event_216	12	36	0.192	24	0.192	4.608
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	TMEM63B	ENSG00000137216	2	Event_281	73	86	0.191	79.5	0.191	15.1845
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	ZBTB44	ENSG00000196323	1	Event_294	224	228	0.188	226	0.188	42.488
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	HOMER2	ENSG00000103942	1	Event_191	104	181	-0.182	142.5	0.182	25.935
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	FNBP1	ENSG00000187239	1	Event_291	86	57	0.18	71.5	0.18	12.87
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	NDRG4	ENSG00000103034	1	Event_185	33	56	-0.165	44.5	0.165	7.3425
Control_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	TPM1	ENSG00000140416	1	Event_239	286	243	-0.156	264.5	0.156	41.262
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	TPT1-AS1	ENSG00000170919	1	Event_272	12	6	-0.645	9	0.645	5.805
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	KCP	ENSG00000135253	1	Event_230	13	41	0.567	27	0.567	15.309
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	SMPD4	ENSG00000136699	1	Event_256	37	69	0.499	53	0.499	26.447
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	SLC26A11	ENSG00000181045	1	Event_175	57	61	0.41	59	0.41	24.19
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	ALS2CL	ENSG00000178038	2	Event_252	10	19	0.368	14.5	0.368	5.336
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	PPP1R12B	ENSG00000077157	1	Event_235	34	41	-0.357	37.5	0.357	13.3875
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	MAGI2-AS3	ENSG00000234456	1	Event_275	25	21	0.357	23	0.357	8.211
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	RHOT2	ENSG00000140983	1	Event_190	24	25	0.343	24.5	0.343	8.4035
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	DOK4	ENSG00000125170	1	Event_186	13	28	0.281	20.5	0.281	5.7605
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	IFFO1	ENSG00000010295	1	Event_214	64	32	-0.229	48	0.229	10.992
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	RNF32	ENSG00000105982	1	Event_210	21	41	0.217	31	0.217	6.727
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	COL5A1	ENSG00000130635	1	Event_248	164	321	-0.206	242.5	0.206	49.955
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	FNBP1	ENSG00000187239	1	Event_291	46	57	0.206	51.5	0.206	10.609
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	AAMP	ENSG00000127837	1	Event_257	31	52	0.204	41.5	0.204	8.466
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	DEDD	ENSG00000158796	1	Event_232	27	61	0.203	44	0.203	8.932
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	DUS3L	ENSG00000141994	1	Event_171	300	158	-0.196	229	0.196	44.884
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	ARHGEF26	ENSG00000114790	1	Event_216	35	36	0.192	35.5	0.192	6.816
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	PTPN6	ENSG00000111679	1	Event_269	112	82	-0.164	97	0.164	15.908
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	NDRG4	ENSG00000103034	1	Event_185	25	56	-0.161	40.5	0.161	6.5205
shRYBP_vs_shRING1A.B	Same Direction	Alternative 5' Splice Site	HOMER2	ENSG00000103942	1	Event_191	68	181	-0.155	124.5	0.155	19.2975
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	PKIB	ENSG00000135549	1	Event_1986	5	5	-1	5	1	5
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	BCS1L	ENSG00000074582	1	Event_2498	18	19	-0.691	18.5	0.691	12.7835
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	SPG7	ENSG00000197912	1	Event_1863	18	7	-0.688	12.5	0.688	8.6
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	AC138932.1	ENSG00000183458	1	Event_2179	20	11	0.686	15.5	0.686	10.633
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	CCDC78	ENSG00000162004	3	Event_1914	16	23	0.672	19.5	0.672	13.104
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	HDAC10	ENSG00000100429	2	Event_1960	3	8	-0.667	5.5	0.667	3.6685
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	FKTN	ENSG00000106692	1	Event_2109	5	5	0.667	5	0.667	3.335
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	FKTN	ENSG00000106692	2	Event_2110	4	5	0.667	4.5	0.667	3.0015
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	CCDC58	ENSG00000160124	2	Event_2917	13	5	-0.667	9	0.667	6.003
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	SPG7	ENSG00000197912	2	Event_1864	19	7	-0.652	13	0.652	8.476
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	WDR90	ENSG00000161996	4	Event_1918	22	16	0.649	19	0.649	12.331
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	RNF165	ENSG00000141622	1	Event_1987	18	25	-0.64	21.5	0.64	13.76
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	VEZT	ENSG00000028203	1	Event_2898	13	15	-0.639	14	0.639	8.946
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	FAM228B	ENSG00000219626	1	Event_2407	22	27	0.611	24.5	0.611	14.9695
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	MSR1	ENSG00000038945	1	Event_2351	14	19	-0.6	16.5	0.6	9.9
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	ZBTB8OS	ENSG00000176261	1	Event_2137	26	39	-0.597	32.5	0.597	19.4025
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	WDR20	ENSG00000140153	2	Event_1968	19	12	0.596	15.5	0.596	9.238
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	UBE2F	ENSG00000184182	1	Event_2501	18	10	-0.59	14	0.59	8.26
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	FLYWCH1	ENSG00000059122	1	Event_1903	37	51	0.584	44	0.584	25.696
Control_vs_shRYBP	Unique to shRYBP vs Control	Skipped Exon	AC135983.2	ENSG00000223509	1	Event_1957	17	38	-0.577	27.5	0.577	15.8675
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	NEDD1	ENSG00000139350	1	Event_2892	8	6	-1	7	1	7
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	ANKRD12	ENSG00000101745	1	Event_1824	10	25	0.828	17.5	0.828	14.49
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	MED12L	ENSG00000144893	1	Event_2462	11	18	0.754	14.5	0.754	10.933
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	MROH6	ENSG00000204839	1	Event_2712	12	18	0.683	15	0.683	10.245
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	RAPH1	ENSG00000173166	2	Event_2336	7	10	-0.667	8.5	0.667	5.6695
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	FAM45A	ENSG00000119979	1	Event_2860	6	12	-0.667	9	0.667	6.003
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	ZNF133	ENSG00000125846	1	Event_2025	29	13	0.64	21	0.64	13.44
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	SNHG14	ENSG00000224078	1	Event_2446	20	15	0.619	17.5	0.619	10.8325
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	SVIL-AS1	ENSG00000224597	1	Event_2684	29	33	-0.614	31	0.614	19.034
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	LINC01006	ENSG00000182648	2	Event_2096	25	25	0.605	25	0.605	15.125
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	SPIN1	ENSG00000106723	2	Event_2797	28	21	-0.592	24.5	0.592	14.504
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	PRDM11	ENSG00000019485	1	Event_2778	22	26	-0.588	24	0.588	14.112
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	AC004943.2	ENSG00000259768	1	Event_1873	12	19	-0.584	15.5	0.584	9.052
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	WASH3P	ENSG00000185596	1	Event_1928	30	13	0.579	21.5	0.579	12.4485
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	FGFR3	ENSG00000068078	1	Event_2196	26	45	0.571	35.5	0.571	20.2705
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	GSDMD	ENSG00000104518	1	Event_2711	15	22	0.571	18.5	0.571	10.5635
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	AL162258.1	ENSG00000271853	1	Event_2680	13	8	-0.569	10.5	0.569	5.9745
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	GRB10	ENSG00000106070	2	Event_2081	32	46	-0.558	39	0.558	21.762
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	ZBTB8OS	ENSG00000176261	2	Event_2138	21	12	-0.556	16.5	0.556	9.174
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Skipped Exon	KSR1	ENSG00000141068	1	Event_2229	19	10	-0.554	14.5	0.554	8.033
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	NEDD1	ENSG00000139350	1	Event_2892	8	14	-0.879	11	0.879	9.669
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	NSRP1	ENSG00000126653	2	Event_2615	30	12	0.859	21	0.859	18.039
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	ANKRD12	ENSG00000101745	1	Event_1824	10	42	0.791	26	0.791	20.566
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	GSDMD	ENSG00000104518	1	Event_2711	15	25	0.73	20	0.73	14.6
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	PDLIM7	ENSG00000196923	1	Event_2559	31	27	0.701	29	0.701	20.329
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	RAPH1	ENSG00000173166	2	Event_2336	7	6	-0.667	6.5	0.667	4.3355
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	FAM45A	ENSG00000119979	1	Event_2860	6	15	-0.667	10.5	0.667	7.0035
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	SNHG14	ENSG00000224078	1	Event_2446	20	18	0.63	19	0.63	11.97
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	SCML1	ENSG00000047634	2	Event_2819	21	12	0.628	16.5	0.628	10.362
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	MROH6	ENSG00000204839	1	Event_2712	12	27	0.623	19.5	0.623	12.1485
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	GRB10	ENSG00000106070	2	Event_2081	32	74	-0.611	53	0.611	32.383
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	FAM90A1	ENSG00000171847	4	Event_2605	18	13	-0.6	15.5	0.6	9.3
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	CEP63	ENSG00000182923	1	Event_2163	12	18	0.589	15	0.589	8.835
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	ABCC6	ENSG00000091262	1	Event_1891	23	73	0.587	48	0.587	28.176
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	KSR1	ENSG00000141068	1	Event_2229	19	43	-0.575	31	0.575	17.825
