Event_ID	Event_Group	condition	IncLevel	geneSymbol	sample	IncLevel_transformed	fitted	residuals_zscore
Event_1003	Mutually Exclusive Exon	shRING1A.B	0.084	TCF7L2	shRING1A.B_Sample_3	0.084	0.389691263275047	-0.433080256806465
Event_1004	Mutually Exclusive Exon	Control	0.646	ADI1	Control_Sample_1	0.646	0.537159891627208	0.902538533853805
Event_1004	Mutually Exclusive Exon	Control	0.623	ADI1	Control_Sample_2	0.623	0.537159891627208	0.704064532613533
Event_1004	Mutually Exclusive Exon	Control	0.588	ADI1	Control_Sample_3	0.588	0.537159891627208	0.408431480321
Event_1004	Mutually Exclusive Exon	shRING1A.B	0.506	ADI1	shRING1A.B_Sample_1	0.506	0.591305701572308	-0.730322840848417
Event_1004	Mutually Exclusive Exon	shRING1A.B	0.518	ADI1	shRING1A.B_Sample_2	0.518	0.591305701572308	-0.632435133960778
Event_1004	Mutually Exclusive Exon	shRING1A.B	0.524	ADI1	shRING1A.B_Sample_3	0.524	0.591305701572308	-0.583476363881568
Event_1005	Mutually Exclusive Exon	Control	0	RNF38	Control_Sample_1	1e-05	0.108468924749635	-0.602866506047507
Event_1005	Mutually Exclusive Exon	Control	0	RNF38	Control_Sample_2	1e-05	0.108468924749635	-0.602866506047507
Event_1005	Mutually Exclusive Exon	Control	0	RNF38	Control_Sample_3	1e-05	0.108468924749635	-0.602866506047507
Event_1005	Mutually Exclusive Exon	shRING1A.B	0	RNF38	shRING1A.B_Sample_1	1e-05	0.131698360147596	-0.820647998786742
Event_1005	Mutually Exclusive Exon	shRING1A.B	0	RNF38	shRING1A.B_Sample_2	1e-05	0.131698360147596	-0.820647998786742
Event_1005	Mutually Exclusive Exon	shRING1A.B	0.312	RNF38	shRING1A.B_Sample_3	0.312	0.131698360147596	0.985997045019533
Event_1006	Mutually Exclusive Exon	Control	0.439	MAD1L1	Control_Sample_1	0.439	0.361856912295138	0.710318784057525
Event_1006	Mutually Exclusive Exon	Control	0.455	MAD1L1	Control_Sample_2	0.455	0.361856912295138	0.845729221794115
Event_1006	Mutually Exclusive Exon	Control	0.466	MAD1L1	Control_Sample_3	0.466	0.361856912295138	0.938589418877902
Event_1006	Mutually Exclusive Exon	shRYBP	0.506	MAD1L1	shRYBP_Sample_1	0.506	0.460997076897977	0.394566709725079
Event_1006	Mutually Exclusive Exon	shRYBP	0.505	MAD1L1	shRYBP_Sample_2	0.505	0.460997076897977	0.386076037591668
Event_1006	Mutually Exclusive Exon	shRYBP	0.417	MAD1L1	shRYBP_Sample_3	0.417	0.460997076897977	-0.36509325546946
Event_1006	Mutually Exclusive Exon	shRING1A.B	0.314	MAD1L1	shRING1A.B_Sample_1	0.314	0.414143557878464	-0.867443343022479
Event_1006	Mutually Exclusive Exon	shRING1A.B	0.28	MAD1L1	shRING1A.B_Sample_2	0.28	0.414143557878464	-1.19355554982388
Event_1006	Mutually Exclusive Exon	shRING1A.B	0.304	MAD1L1	shRING1A.B_Sample_3	0.304	0.414143557878464	-0.961767031929971
Event_1007	Mutually Exclusive Exon	Control	0.765	RANBP17	Control_Sample_1	0.765	0.739723130036087	-0.323171948684081
Event_1007	Mutually Exclusive Exon	Control	1	RANBP17	Control_Sample_2	0.99999	0.739723130036088	1.57847424352635
Event_1007	Mutually Exclusive Exon	Control	1	RANBP17	Control_Sample_3	0.99999	0.739723130036088	1.57847424352635
Event_1007	Mutually Exclusive Exon	shRING1A.B	0.419	RANBP17	shRING1A.B_Sample_1	0.419	0.779882466954687	-0.983227677260306
Event_1007	Mutually Exclusive Exon	shRING1A.B	0.375	RANBP17	shRING1A.B_Sample_2	0.375	0.779882466954687	-1.04847346143599
Event_1007	Mutually Exclusive Exon	shRING1A.B	0.684	RANBP17	shRING1A.B_Sample_3	0.684	0.779882466954687	-0.605008574454231
Event_1009	Mutually Exclusive Exon	Control	0.149	SEPT2	Control_Sample_1	0.149	0.436463888476732	-0.2384857234881
Event_1009	Mutually Exclusive Exon	Control	0	SEPT2	Control_Sample_2	1e-05	0.436463888476732	-1.68565335481422
Event_1009	Mutually Exclusive Exon	Control	0.225	SEPT2	Control_Sample_3	0.225	0.436463888476732	-0.12480497442761
Event_1009	Mutually Exclusive Exon	shRING1A.B	1	SEPT2	shRING1A.B_Sample_1	0.99999	0.491232345767094	1.9411175586112
Event_1009	Mutually Exclusive Exon	shRING1A.B	0.433	SEPT2	shRING1A.B_Sample_2	0.433	0.491232345767094	-0.0424545653549782
Event_1009	Mutually Exclusive Exon	shRING1A.B	0.739	SEPT2	shRING1A.B_Sample_3	0.739	0.491232345767094	0.274878215186541
Event_101	Alternative 5' Splice Site	Control	0.543	OPTN	Control_Sample_1	0.543	0.731088132089826	-0.629523004894357
Event_101	Alternative 5' Splice Site	Control	0.461	OPTN	Control_Sample_2	0.461	0.731088132089826	-0.738974659661701
Event_101	Alternative 5' Splice Site	Control	0.465	OPTN	Control_Sample_3	0.465	0.731088132089826	-0.733588547023549
Event_101	Alternative 5' Splice Site	shRYBP	0.254	OPTN	shRYBP_Sample_1	0.254	0.681551411635342	-0.893559715845247
Event_101	Alternative 5' Splice Site	shRYBP	0.158	OPTN	shRYBP_Sample_2	0.158	0.681551411635342	-1.08873184506559
Event_101	Alternative 5' Splice Site	shRYBP	0.312	OPTN	shRYBP_Sample_3	0.312	0.681551411635342	-0.797239182551414
Event_101	Alternative 5' Splice Site	shRING1A.B	0.132	OPTN	shRING1A.B_Sample_1	0.132	0.722221443704095	-1.28033203957827
Event_101	Alternative 5' Splice Site	shRING1A.B	0.363	OPTN	shRING1A.B_Sample_2	0.363	0.722221443704096	-0.846760725760326
Event_101	Alternative 5' Splice Site	shRING1A.B	0.206	OPTN	shRING1A.B_Sample_3	0.206	0.722221443704096	-1.10882125075738
Event_1010	Mutually Exclusive Exon	Control	0.036	SEPT2	Control_Sample_1	0.036	0.436463888476732	-0.552582119652104
Event_1010	Mutually Exclusive Exon	Control	0	SEPT2	Control_Sample_2	1e-05	0.436463888476732	-1.68565335481422
Event_1010	Mutually Exclusive Exon	Control	0.074	SEPT2	Control_Sample_3	0.074	0.436463888476732	-0.404204899406921
Event_1010	Mutually Exclusive Exon	shRYBP	0.097	SEPT2	shRYBP_Sample_1	0.097	0.538786568381113	-0.625360030351519
Event_1010	Mutually Exclusive Exon	shRYBP	0.088	SEPT2	shRYBP_Sample_2	0.088	0.538786568381113	-0.648380492557259
Event_1010	Mutually Exclusive Exon	shRYBP	0	SEPT2	shRYBP_Sample_3	1e-05	0.538786568381114	-2.04310387452881
Event_1010	Mutually Exclusive Exon	shRING1A.B	0.351	SEPT2	shRING1A.B_Sample_1	0.351	0.491232345767094	-0.126148766815208
Event_1010	Mutually Exclusive Exon	shRING1A.B	0.383	SEPT2	shRING1A.B_Sample_2	0.383	0.491232345767094	-0.0928285968546773
Event_1010	Mutually Exclusive Exon	shRING1A.B	0.209	SEPT2	shRING1A.B_Sample_3	0.209	0.491232345767094	-0.29552672389572
Event_1011	Mutually Exclusive Exon	Control	1	ZNF621	Control_Sample_1	0.99999	0.37401636874417	1.74037286968221
Event_1011	Mutually Exclusive Exon	Control	0.902	ZNF621	Control_Sample_2	0.902	0.37401636874417	0.678080441057548
Event_1011	Mutually Exclusive Exon	Control	0.794	ZNF621	Control_Sample_3	0.794	0.37401636874417	0.545054036681834
Event_1011	Mutually Exclusive Exon	shRYBP	0.87	ZNF621	shRYBP_Sample_1	0.87	0.474013366155544	0.367986049880563
Event_1011	Mutually Exclusive Exon	shRYBP	0.41	ZNF621	shRYBP_Sample_2	0.41	0.474013366155544	0.00802219275767777
Event_1011	Mutually Exclusive Exon	shRYBP	0.938	ZNF621	shRYBP_Sample_3	0.938	0.474013366155544	0.487533559241815
Event_1011	Mutually Exclusive Exon	shRING1A.B	1	ZNF621	shRING1A.B_Sample_1	0.99999	0.426884667401942	1.58490721497807
Event_1011	Mutually Exclusive Exon	shRING1A.B	1	ZNF621	shRING1A.B_Sample_2	0.99999	0.426884667401942	1.58490721497807
Event_1011	Mutually Exclusive Exon	shRING1A.B	1	ZNF621	shRING1A.B_Sample_3	0.99999	0.426884667401942	1.58490721497807
Event_1012	Mutually Exclusive Exon	Control	0.897	DAG1	Control_Sample_1	0.897	0.302245748750996	0.864219510799311
Event_1012	Mutually Exclusive Exon	Control	1	DAG1	Control_Sample_2	0.99999	0.302245748750996	1.94195716732526
Event_1012	Mutually Exclusive Exon	Control	1	DAG1	Control_Sample_3	0.99999	0.302245748750996	1.94195716732526
Event_1012	Mutually Exclusive Exon	shRING1A.B	0.813	DAG1	shRING1A.B_Sample_1	0.813	0.350651891661328	0.624848745652891
Event_1012	Mutually Exclusive Exon	shRING1A.B	0.616	DAG1	shRING1A.B_Sample_2	0.616	0.350651891661328	0.468601191131446
Event_1012	Mutually Exclusive Exon	shRING1A.B	1	DAG1	shRING1A.B_Sample_3	0.99999	0.350651891661328	1.7991745522243
